step,row,column
1,21,20
2,24,19
3,24,21
4,20,23
5,23,16
6,23,20
7,23,3
8,23,13
9,21,23
10,21,18
11,23,5
12,21,24
13,20,19
14,22,24
15,22,15
16,22,23
17,21,17
18,22,12
19,22,19
20,22,9
21,24,9
22,24,24
23,21,11
24,20,4
25,22,11
26,23,4
27,22,18
28,20,1
29,23,22
30,21,4
31,22,1
32,22,17
33,21,1
34,20,18
35,20,22
36,20,14
37,23,14
38,20,11
39,21,15
40,23,11
41,20,2
42,23,23
43,20,15
44,18,22
45,22,13
46,22,6
47,24,1
48,24,4
49,21,3
50,24,14
51,24,16
52,24,6
53,18,13
54,18,4
55,19,6
56,19,23
57,19,4
58,18,2
59,24,7
60,20,7
61,19,16
62,16,11
63,17,11
64,17,16
65,17,4
66,17,1
67,18,3
68,16,6
69,15,14
70,15,2
71,19,2
72,14,14
73,18,5
74,21,5
75,19,21
76,15,7
77,18,10
78,14,23
79,15,24
80,15,21
81,14,15
82,23,2
83,19,9
84,19,7
85,14,24
86,9,23
87,13,4
88,18,7
89,18,1
90,15,9
91,12,24
92,24,20
93,21,10
94,22,10
95,19,24
96,16,1
97,14,4
98,14,6
99,17,6
100,13,17
101,20,5
102,17,10
103,16,10
104,10,19
105,10,24
106,10,18
107,11,24
108,24,3
109,19,19
110,12,11
111,11,12
112,11,19
113,13,22
114,13,7
115,10,21
116,18,21
117,18,19
118,16,19
119,18,12
120,7,10
121,20,12
122,19,15
123,15,12
124,16,12
125,15,19
126,8,18
127,14,10
128,24,5
129,13,5
130,21,8
131,23,8
132,17,5
133,14,12
134,13,15
135,10,4
136,9,20
137,9,22
138,9,2
139,12,4
140,19,20
141,10,3
142,10,17
143,10,2
144,9,13
145,7,11
146,9,18
147,11,1
148,11,14
149,12,1
150,9,24
151,9,11
152,7,13
153,8,19
154,8,12
155,13,24
156,13,1
157,13,23
158,6,23
159,13,8
160,13,9
161,8,4
162,6,12
163,10,1
164,6,18
165,8,13
166,10,14
167,6,13
168,6,4
169,6,8
170,7,12
171,6,1
172,9,21
173,3,23
174,3,8
175,3,22
176,6,21
177,7,8
178,2,24
179,5,16
180,9,10
181,8,1
182,7,21
183,7,15
184,5,6
185,5,9
186,5,5
187,14,5
188,4,24
189,23,15
190,4,19
191,4,15
192,1,19
193,2,16
194,4,8
195,4,4
196,3,24
197,4,16
198,5,11
199,5,21
200,2,19
201,18,15
202,4,11
203,2,15
204,2,13
205,1,11
206,4,1
207,4,18
208,2,1
209,11,18
210,1,13
211,5,1
212,5,2
213,11,3
214,11,6
215,8,2
216,11,2
217,9,3
218,7,2
219,5,10
220,11,22
221,11,20
222,5,22
223,6,22
224,6,7
225,7,22
226,8,16
227,1,23
228,1,18
229,1,21
230,7,7
231,3,9
232,1,7
233,1,15
234,1,1
235,3,16
236,3,11
237,3,13
238,3,2
239,12,7
240,12,10
241,12,2
242,12,6
243,8,10
244,3,4
245,12,18
246,12,14
247,8,5
248,8,22
249,6,20
250,11,17
251,6,17
252,8,3
253,12,3
254,8,17
255,8,20
256,12,17
257,4,6
258,8,14
259,1,9
260,12,20
261,4,12
262,3,18
263,3,1
264,2,18
265,2,22
266,2,17
267,4,5
268,2,3
269,4,14
270,4,22
271,2,14
272,2,5
273,6,5
274,2,11
275,1,20
276,13,12
277,5,20
278,3,12
279,3,3
280,1,12
